[2025-04-15T19:55:51.362Z] 🚀 Mission démarrée pour 10.0.2.15
limo1 : SCAN_LOG: t=19:00:06.250 | min_dist=0.69m@118° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.69/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:06.500 | min_dist=0.69m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.69/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:06.625 | min_dist=0.7m@117° | obstacles(<0.5m)=0 | F/L/R/B=2.14/0.7/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:06.750 | min_dist=0.69m@118° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.69/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:06.875 | min_dist=0.7m@119° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:07.000 | min_dist=0.69m@119° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.69/2.22/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:07.125 | min_dist=0.69m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.69/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:07.250 | min_dist=0.7m@118° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.22/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:07.375 | min_dist=0.69m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.69/2.22/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:07.500 | min_dist=0.7m@118° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:07.625 | min_dist=0.7m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.14/0.7/2.22/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:07.750 | min_dist=0.7m@119° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:07.875 | min_dist=0.69m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.69/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:08.000 | min_dist=0.7m@117° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:08.125 | min_dist=0.7m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.22/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:08.250 | min_dist=0.7m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:08.375 | min_dist=0.7m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:08.500 | min_dist=0.7m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.14/0.7/2.22/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:08.625 | min_dist=0.7m@119° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.2/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:08.750 | min_dist=0.69m@118° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.69/2.2/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:08.875 | min_dist=0.69m@119° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.69/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:09.000 | min_dist=0.69m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.14/0.69/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:09.125 | min_dist=0.7m@119° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.2/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:09.250 | min_dist=0.7m@119° | obstacles(<0.5m)=0 | F/L/R/B=2.16/0.7/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:09.375 | min_dist=0.71m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.71/2.22/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:09.500 | min_dist=0.71m@119° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.71/2.22/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:09.625 | min_dist=0.7m@115° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:09.750 | min_dist=0.7m@118° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.22/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:09.875 | min_dist=0.69m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.69/2.2/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:10.000 | min_dist=0.7m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:10.250 | min_dist=0.7m@117° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:10.375 | min_dist=0.69m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.69/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:10.500 | min_dist=0.7m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.2/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:10.625 | min_dist=0.7m@118° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.22/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:10.750 | min_dist=0.69m@117° | obstacles(<0.5m)=0 | F/L/R/B=2.16/0.69/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:10.875 | min_dist=0.69m@119° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.69/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:11.000 | min_dist=0.7m@118° | obstacles(<0.5m)=0 | F/L/R/B=2.14/0.7/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:11.125 | min_dist=0.7m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:11.250 | min_dist=0.69m@119° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.69/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:11.375 | min_dist=0.69m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.69/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:11.500 | min_dist=0.68m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.14/0.68/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:11.625 | min_dist=0.7m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.2/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:11.750 | min_dist=0.69m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.14/0.69/2.2/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:11.875 | min_dist=0.7m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.2/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:12.000 | min_dist=0.7m@117° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:12.250 | min_dist=0.7m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:12.375 | min_dist=0.7m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:12.500 | min_dist=0.69m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.69/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:12.750 | min_dist=0.7m@117° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:12.875 | min_dist=0.68m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.68/2.22/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:13.000 | min_dist=0.69m@118° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.69/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:13.250 | min_dist=0.69m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.69/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:13.500 | min_dist=0.7m@117° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:13.750 | min_dist=0.69m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.69/2.21/Infinitym | avg=4.41m var=5.89
