MISSION_LOG: t=2025-04-15T18:49:05.014Z | Mission 10_0_2_15_20250415184905_b0y64d STARTED for robot at 10.0.2.15
MISSION_LOG: t=2025-04-15T18:56:51.777Z | Mission undefined STOPPED for robot at 10.0.2.15
MISSION_LOG: t=2025-04-15T18:56:52.102Z | Mission undefined STOPPED for robot at 10.0.2.15
MISSION_LOG: t=2025-04-15T18:56:51.882Z | Mission undefined STOPPED for robot at 10.0.2.15
limo2 : SCAN_LOG: t=19:00:05.375 | min_dist=0.57m@-107° | obstacles(<0.5m)=0 | F/L/R/B=5.6/1.3/0.57/Infinitym | avg=4.81m var=6.45
limo1 : SCAN_LOG: t=19:00:05.500 | min_dist=0.42m@-11° | obstacles(<0.5m)=169 | F/L/R/B=0.42/1.18/0.46/Infinitym | avg=1.83m var=3.63
limo2 : SCAN_LOG: t=19:00:05.500 | min_dist=0.6m@-112° | obstacles(<0.5m)=0 | F/L/R/B=5.48/1.39/0.6/Infinitym | avg=5.03m var=6.01
limo1 : SCAN_LOG: t=19:00:05.625 | min_dist=0.32m@-23° | obstacles(<0.5m)=276 | F/L/R/B=0.32/1.27/0.37/Infinitym | avg=1.61m var=3.17
limo2 : SCAN_LOG: t=19:00:05.750 | min_dist=0.69m@-118° | obstacles(<0.5m)=0 | F/L/R/B=5.29/1.55/0.69/Infinitym | avg=5.49m var=4.49
limo1 : SCAN_LOG: t=19:00:05.875 | min_dist=0.2m@-32° | obstacles(<0.5m)=384 | F/L/R/B=0.2/1.34/0.2/Infinitym | avg=1.38m var=3.03
limo2 : SCAN_LOG: t=19:00:05.875 | min_dist=1.33m@-120° | obstacles(<0.5m)=0 | F/L/R/B=5.19/1.62/1.33/Infinitym | avg=5.55m var=4.02
limo1 : SCAN_LOG: t=19:00:06.000 | min_dist=0.18m@-27° | obstacles(<0.5m)=392 | F/L/R/B=0.18/1.39/0.21/Infinitym | avg=1.31m var=2.69
limo2 : SCAN_LOG: t=19:00:06.000 | min_dist=1.7m@120° | obstacles(<0.5m)=0 | F/L/R/B=5.09/1.7/2.39/Infinitym | avg=5.58m var=3.72
limo1 : SCAN_LOG: t=19:00:06.125 | min_dist=0.18m@-18° | obstacles(<0.5m)=397 | F/L/R/B=0.18/1.81/0.19/Infinitym | avg=1.24m var=2.19
limo2 : SCAN_LOG: t=19:00:06.125 | min_dist=1.81m@119° | obstacles(<0.5m)=0 | F/L/R/B=4.99/1.81/3.48/Infinitym | avg=5.6m var=3.5
