MISSION_LOG: t=2025-04-16T02:12:19.801Z | Mission 10_0_2_15_20250416021219_82h5rp STARTED for robot at 10.0.2.15
limo1 : SCAN_LOG: t=19:00:14.250 | min_dist=1.02m@58° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.83/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:14.375 | min_dist=1.02m@61° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.85/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:14.500 | min_dist=1.01m@68° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.01/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:14.625 | min_dist=1.02m@68° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.84/Infinitym | avg=3.83m var=7.37
limo1 : SCAN_LOG: t=19:00:14.750 | min_dist=1.02m@60° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:14.875 | min_dist=1.02m@55° | obstacles(<0.5m)=0 | F/L/R/B=1.06/1.02/2.83/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:15.000 | min_dist=1.02m@53° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:15.125 | min_dist=1.01m@117° | obstacles(<0.5m)=0 | F/L/R/B=1.06/1.01/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:15.250 | min_dist=1.02m@70° | obstacles(<0.5m)=0 | F/L/R/B=1.09/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:15.375 | min_dist=1.02m@64° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:15.500 | min_dist=1.02m@61° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:15.625 | min_dist=1.03m@63° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.03/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:15.750 | min_dist=1m@60° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:15.875 | min_dist=1.01m@64° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.01/2.85/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:16.000 | min_dist=1.02m@55° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:16.125 | min_dist=1.02m@66° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:16.250 | min_dist=1.02m@117° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.82/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:16.375 | min_dist=1.01m@61° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.01/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:16.500 | min_dist=1.02m@64° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.84/Infinitym | avg=3.84m var=7.36
limo1 : SCAN_LOG: t=19:00:16.625 | min_dist=1.02m@64° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:16.750 | min_dist=1.02m@64° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.85/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:16.875 | min_dist=1.02m@67° | obstacles(<0.5m)=0 | F/L/R/B=1.06/1.02/2.83/Infinitym | avg=3.84m var=7.36
limo1 : SCAN_LOG: t=19:00:17.000 | min_dist=1.02m@59° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:17.125 | min_dist=1.02m@62° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:17.250 | min_dist=1.02m@62° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:17.375 | min_dist=1.02m@62° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.83/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:17.500 | min_dist=1.02m@57° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:17.625 | min_dist=1.02m@61° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:17.750 | min_dist=1.02m@67° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:17.875 | min_dist=1.02m@61° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:18.000 | min_dist=1.02m@60° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.83/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:18.250 | min_dist=1.02m@64° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.83/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:18.375 | min_dist=1.02m@58° | obstacles(<0.5m)=0 | F/L/R/B=1.06/1.02/2.83/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:18.500 | min_dist=1.02m@60° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.85/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:18.625 | min_dist=1.02m@56° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.83/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:18.750 | min_dist=1.02m@63° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:18.875 | min_dist=1m@65° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1/2.83/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:19.000 | min_dist=1.01m@58° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.01/2.83/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:19.125 | min_dist=1.02m@60° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.82/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:19.250 | min_dist=1.02m@65° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:19.375 | min_dist=1.02m@57° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:19.500 | min_dist=1.02m@63° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:19.625 | min_dist=1.02m@60° | obstacles(<0.5m)=0 | F/L/R/B=1.06/1.02/2.83/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:19.750 | min_dist=1.02m@69° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:19.875 | min_dist=1.01m@60° | obstacles(<0.5m)=0 | F/L/R/B=1.06/1.01/2.84/Infinitym | avg=3.83m var=7.36
MISSION_LOG: t=2025-04-16T02:16:17.356Z | Mission undefined STOPPED for robot at 10.0.2.15
MISSION_LOG: t=2025-04-16T02:16:17.408Z | Mission undefined STOPPED for robot at 10.0.2.15
