MISSION_LOG: t=2025-04-15T15:54:05.432Z | Mission 10_0_2_15_20250415155405_864c7t STARTED for robot at 10.0.2.15
limo2 : SCAN_LOG: t=19:00:19.500 | min_dist=2.78m@105° | obstacles(<0.5m)=0 | F/L/R/B=4.27/2.78/4.31/Infinitym | avg=5.45m var=1.38
limo1 : SCAN_LOG: t=19:00:19.625 | min_dist=0.54m@-95° | obstacles(<0.5m)=0 | F/L/R/B=0.84/2.76/0.54/Infinitym | avg=3.43m var=8.49
limo2 : SCAN_LOG: t=19:00:19.625 | min_dist=2.81m@107° | obstacles(<0.5m)=0 | F/L/R/B=4.2/2.81/4.22/Infinitym | avg=5.41m var=1.32
limo1 : SCAN_LOG: t=19:00:19.750 | min_dist=0.55m@-98° | obstacles(<0.5m)=0 | F/L/R/B=0.85/2.81/0.55/Infinitym | avg=3.49m var=8.49
limo2 : SCAN_LOG: t=19:00:19.750 | min_dist=2.83m@109° | obstacles(<0.5m)=0 | F/L/R/B=4.11/2.83/4.14/Infinitym | avg=5.36m var=1.29
limo1 : SCAN_LOG: t=19:00:19.875 | min_dist=0.55m@-87° | obstacles(<0.5m)=0 | F/L/R/B=0.86/2.84/0.55/Infinitym | avg=3.56m var=8.55
limo2 : SCAN_LOG: t=19:00:19.875 | min_dist=2.87m@111° | obstacles(<0.5m)=0 | F/L/R/B=4.05/2.87/4.07/Infinitym | avg=5.32m var=1.25
limo1 : SCAN_LOG: t=19:00:20.000 | min_dist=0.56m@-91° | obstacles(<0.5m)=0 | F/L/R/B=0.89/2.91/0.56/Infinitym | avg=3.62m var=8.56
limo2 : SCAN_LOG: t=19:00:20.000 | min_dist=2.92m@113° | obstacles(<0.5m)=0 | F/L/R/B=3.97/2.92/3.98/Infinitym | avg=5.28m var=1.23
limo1 : SCAN_LOG: t=19:00:20.125 | min_dist=0.57m@-92° | obstacles(<0.5m)=0 | F/L/R/B=0.89/2.95/0.57/Infinitym | avg=3.68m var=8.52
limo2 : SCAN_LOG: t=19:00:20.125 | min_dist=2.94m@114° | obstacles(<0.5m)=0 | F/L/R/B=3.9/2.94/3.92/Infinitym | avg=5.22m var=1.19
limo1 : SCAN_LOG: t=19:00:20.250 | min_dist=0.57m@-92° | obstacles(<0.5m)=0 | F/L/R/B=0.91/3/0.57/Infinitym | avg=3.74m var=8.52
limo2 : SCAN_LOG: t=19:00:20.250 | min_dist=2.99m@116° | obstacles(<0.5m)=0 | F/L/R/B=3.82/2.99/3.84/Infinitym | avg=5.19m var=1.18
limo1 : SCAN_LOG: t=19:00:20.375 | min_dist=0.58m@-98° | obstacles(<0.5m)=0 | F/L/R/B=0.91/3.04/0.58/Infinitym | avg=3.79m var=8.48
limo2 : SCAN_LOG: t=19:00:20.375 | min_dist=3.05m@118° | obstacles(<0.5m)=0 | F/L/R/B=3.75/3.05/3.77/Infinitym | avg=5.14m var=1.17
limo1 : SCAN_LOG: t=19:00:20.500 | min_dist=0.58m@-93° | obstacles(<0.5m)=0 | F/L/R/B=0.93/2.87/0.58/Infinitym | avg=3.84m var=8.43
limo2 : SCAN_LOG: t=19:00:20.500 | min_dist=3.08m@120° | obstacles(<0.5m)=0 | F/L/R/B=3.67/3.08/3.69/Infinitym | avg=5.09m var=1.17
limo1 : SCAN_LOG: t=19:00:20.625 | min_dist=0.6m@-95° | obstacles(<0.5m)=0 | F/L/R/B=0.93/3.14/0.6/Infinitym | avg=3.9m var=8.4
limo2 : SCAN_LOG: t=19:00:20.625 | min_dist=3.21m@120° | obstacles(<0.5m)=0 | F/L/R/B=3.59/3.21/3.62/Infinitym | avg=5.04m var=1.18
limo1 : SCAN_LOG: t=19:00:20.750 | min_dist=0.6m@-99° | obstacles(<0.5m)=0 | F/L/R/B=0.93/2.78/0.6/Infinitym | avg=3.96m var=8.35
limo2 : SCAN_LOG: t=19:00:20.750 | min_dist=3.52m@-42° | obstacles(<0.5m)=0 | F/L/R/B=3.52/5.06/3.53/Infinitym | avg=4.98m var=1.2
limo1 : SCAN_LOG: t=19:00:20.875 | min_dist=0.6m@-92° | obstacles(<0.5m)=0 | F/L/R/B=0.95/2.82/0.6/Infinitym | avg=4.02m var=8.29
limo2 : SCAN_LOG: t=19:00:20.875 | min_dist=3.44m@-41° | obstacles(<0.5m)=0 | F/L/R/B=3.44/5/3.46/Infinitym | avg=4.91m var=1.21
limo1 : SCAN_LOG: t=19:00:21.000 | min_dist=0.62m@-98° | obstacles(<0.5m)=0 | F/L/R/B=0.95/2.82/0.62/Infinitym | avg=4.08m var=8.24
limo2 : SCAN_LOG: t=19:00:21.000 | min_dist=3.37m@-46° | obstacles(<0.5m)=0 | F/L/R/B=3.37/4.93/3.37/Infinitym | avg=4.84m var=1.24
